Carimbo de data/hora,Você está cursando/já cursou Engenharia de Software e Projeto de Sotware?,Quais desses tipos de testes de software você estudou e/ou fez uso nas disciplinas?,"Quais desses tipos de testes de software você aplicou ou viu sendo aplicado em projetos além das disciplinas (por exemplo estágio, trabalho)?",Quais desses tipos você utilizou para testar seu projeto nas disciplinas (Engenharia de Software ou Projeto de Software)?,Quais desses métodos de testes de software você estudou e/ou fez uso nas disciplinas?,O conteúdo sobre testes da disciplina te motivou a testar mais seu projeto de Engenharia de Software/Projeto de Software?,Você considera que o conteúdo sobre testes fez você se tornar um desenvolvedor mais atento com a qualidade dos produtos?
23/11/2022 13:50:16,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Aceitação",Teste de Unidade,"Teste de Unidade, Teste de Aceitação",Cobertura de Teste,3,3
23/11/2022 13:50:23,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste Web","Teste de Unidade, Teste de Integração, Teste de Sistema, Teste Web","Teste de Unidade, Teste de Integração, Teste Web","Teste Funcional(Caixa-Preta), Cobertura de Teste",4,5
23/11/2022 14:02:58,Somente Projeto de Software,"Teste de Unidade, Teste de Integração, Teste de Aceitação","Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração, Teste de Regressão",Cobertura de Teste,2,3
23/11/2022 14:05:30,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Aceitação","Teste de Unidade, Teste de Aceitação, Teste Mobile",Teste de Unidade,"Teste Estrutural(Caixa-Branca), Cobertura de Teste",3,4
23/11/2022 14:06:42,Somente Projeto de Software,"Teste de Unidade, Teste de Sistema, Teste Web","Teste Web, Teste Mobile","Teste de Unidade, Teste de Sistema, Teste Web",Geração automática de teste,5,5
23/11/2022 16:11:02,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração",Teste de Unidade,"Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca), Cobertura de Teste",4,4
23/11/2022 17:07:32,Somente Projeto de Software,Teste de Unidade,Teste de Unidade,Teste de Unidade,Teste Funcional(Caixa-Preta),3,3
23/11/2022 18:44:52,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste de Sistema","Teste de Unidade, Teste de Integração, Teste de Sistema","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Teste de Mutação, Cobertura de Teste, Geração automática de teste",5,5
23/11/2022 22:52:34,Já cursei as duas disciplinas,Teste de Unidade,"Teste de Unidade, Teste de Integração, Teste de Regressão",Teste de Unidade,"Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca)",2,3
24/11/2022 09:47:20,Não cursei nenhuma das disciplinas,,,,,,
24/11/2022 17:58:35,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste de Aceitação","Teste de Unidade, Teste de Integração",Teste de Unidade,"Teste Estrutural(Caixa-Branca), Cobertura de Teste",2,3
24/11/2022 18:40:35,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Sistema, Teste Web","Teste de Unidade, Teste de Integração, Teste de Aceitação, Teste Web, Teste Mobile","Teste de Sistema, Teste de Aceitação","Teste Estrutural(Caixa-Branca), Cobertura de Teste",2,4
25/11/2022 11:03:01,Já cursei as duas disciplinas,Teste de Integração,"Teste de Unidade, Teste de Integração, Teste de Aceitação",Teste de Integração,Teste Funcional(Caixa-Preta),1,2
27/11/2022 14:41:21,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste de Aceitação, Teste Web","Teste de Unidade, Teste de Integração, Teste de Regressão, Teste Mobile","Teste de Unidade, Teste de Integração, Teste Web","Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca), Cobertura de Teste",4,4
27/11/2022 15:00:18,Somente Projeto de Software,Teste de Unidade,Teste de Unidade,Teste de Unidade,Cobertura de Teste,4,4
27/11/2022 15:09:36,Somente Projeto de Software,Teste de Unidade,Teste de Unidade,Teste de Unidade,Cobertura de Teste,3,4
27/11/2022 15:53:46,Já cursei as duas disciplinas,Teste de Unidade,"Teste de Unidade, Teste de Integração, Teste de Sistema, Teste de Aceitação, Teste Web, Teste Mobile",Teste de Unidade,"Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca), Teste de Mutação, Cobertura de Teste",3,3
28/11/2022 10:35:27,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Sistema, Teste Web","Teste de Unidade, Teste de Sistema, Teste Web","Teste de Unidade, Teste Web",Teste Funcional(Caixa-Preta),4,5
28/11/2022 11:04:38,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Sistema, Teste de Aceitação, Teste Web","Teste de Unidade, Teste de Integração, Teste de Sistema, Teste de Aceitação","Teste de Unidade, Teste de Sistema, Teste de Aceitação, Teste Web","Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca)",2,3
28/11/2022 20:14:51,Já cursei as duas disciplinas,Teste de Unidade,"Teste de Unidade, Teste de Integração",Teste de Unidade,Cobertura de Teste,1,2
28/11/2022 20:17:57,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração, Teste de Sistema, Teste de Regressão, Teste de Aceitação, Teste Web","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca), Cobertura de Teste",2,3
29/11/2022 10:44:52,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração",Teste de Unidade,"Teste Funcional(Caixa-Preta), Cobertura de Teste",3,4
29/11/2022 10:44:52,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Aceitação",Teste de Unidade,"Teste de Unidade, Teste de Aceitação",Cobertura de Teste,2,4
29/11/2022 10:45:22,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Aceitação",Teste de Unidade,Teste de Unidade,Teste Funcional(Caixa-Preta),3,4
29/11/2022 11:01:04,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste de Sistema, Teste de Regressão, Teste de Aceitação","Teste de Unidade, Teste de Integração, Teste de Sistema","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Cobertura de Teste, Geração automática de teste",5,5
29/11/2022 11:05:17,Somente Projeto de Software,"Teste de Unidade, Teste de Sistema, Teste Web","Teste de Sistema, Teste Web","Teste de Unidade, Teste de Sistema, Teste Web",Cobertura de Teste,4,5
29/11/2022 11:09:09,Não cursei nenhuma das disciplinas,,,,,,
29/11/2022 11:21:51,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste de Sistema, Teste de Aceitação","Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca), Cobertura de Teste, Geração automática de teste",2,4
29/11/2022 12:54:08,Não cursei nenhuma das disciplinas,,,,,,
29/11/2022 13:08:01,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração, Teste de Regressão, Teste de Aceitação","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Cobertura de Teste, Geração automática de teste",4,4
29/11/2022 13:20:27,Somente Projeto de Software,"Teste de Integração, Teste de Sistema, Teste de Aceitação",Teste de Unidade,"Teste de Unidade, Teste de Aceitação","Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca)",5,4
29/11/2022 14:41:24,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração","Teste de Unidade, Teste de Integração, Teste de Regressão, Teste de Aceitação","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Cobertura de Teste",3,4
29/11/2022 18:04:04,Já cursei as duas disciplinas,Teste de Unidade,Teste de Unidade,Teste de Unidade,"Teste Funcional(Caixa-Preta), Teste Estrutural(Caixa-Branca), Cobertura de Teste, Geração automática de teste",3,3
29/11/2022 18:50:17,Não cursei nenhuma das disciplinas,,,,,,
30/11/2022 08:20:57,Já cursei as duas disciplinas,Teste de Unidade,"Teste de Unidade, Teste de Integração, Teste de Sistema","Teste de Unidade, Teste de Integração","Teste Funcional(Caixa-Preta), Cobertura de Teste",4,5
30/11/2022 11:00:05,Já cursei as duas disciplinas,"Teste de Unidade, Teste de Integração, Teste de Aceitação","Teste de Unidade, Teste de Integração, Teste de Aceitação","Teste de Unidade, Teste de Integração, Teste de Aceitação","Teste Funcional(Caixa-Preta), Cobertura de Teste, Geração automática de teste",4,5
30/11/2022 15:36:55,Já cursei as duas disciplinas,Teste de Aceitação,Teste Web,Teste de Aceitação,Cobertura de Teste,4,3
03/12/2022 12:21:02,Não cursei nenhuma das disciplinas,,,,,,
,,,,,,,
,#NUM!,,,,,,